episode,timestep,reward,raw_reward
1,107,-1031.5476996829248,-1031.5476996829248
2,187,-1026.5099977315112,-1021.472295780098
3,262,-1026.578415467635,-1026.7152509398825
4,495,-1028.36253104522,-1033.7148777779755
5,580,-1027.8272644555768,-1025.6861980970039
6,694,-1027.3011454749333,-1024.670550571716
7,758,-1026.9800543151166,-1025.0535073562164
8,883,-1026.7148144822422,-1024.8581356521208
9,982,-1026.4642762503618,-1024.4599703953165
10,1072,-1026.2485068883834,-1024.3065826305792
11,1138,-1025.8735189860313,-1022.1236399625097
12,1242,-1025.4977333505963,-1021.3640913608107
13,1362,-1025.3145070920664,-1023.1157919897073
14,1599,-1025.8440730158013,-1032.7284300243548
15,1724,-1025.5208859801792,-1020.9962674814693
16,1810,-1025.3315954134748,-1022.4922369129115
17,1957,-1025.1658498595639,-1022.5139209969899
18,2053,-1024.9588267813556,-1021.4394344518156
19,2174,-1024.784535249503,-1021.6472876761597
20,2240,-1024.6545939212651,-1022.1857086847458
21,2340,-1024.54986218267,-1022.4552274107652
22,2408,-1024.4739756239546,-1022.8803578909317
23,2486,-1024.4295591860966,-1023.4523975532201
24,2559,-1024.395476130946,-1023.6115658624776
25,2697,-1024.576608010202,-1028.923773112348
26,2889,-1024.8798104602206,-1032.4598717106867
27,3015,-1025.1286864726533,-1031.599462795906
28,3171,-1025.2414758312054,-1028.2867885121132
29,3268,-1025.3506872927328,-1028.4086082155022
30,3386,-1025.3999253976992,-1026.8278304417267
31,3495,-1025.6000890172936,-1031.604997605124
32,3587,-1025.8867854439036,-1034.7743746688066
33,3698,-1025.993265638584,-1029.4006318683573
34,3856,-1026.1653832457823,-1031.8452642833204
35,4012,-1026.2876525873237,-1030.4448101997311
36,4116,-1026.3125399499145,-1027.1835976405916
37,4216,-1026.263585588334,-1024.5012285714377
38,4325,-1026.3173766638583,-1028.3076464582546
39,4613,-1026.3568668962466,-1027.8574957269932
40,4714,-1026.2208023267724,-1020.91428411729
41,4883,-1025.988822867464,-1022.2685213105985
42,4975,-1025.95919848056,-1020.2873203039328
43,5077,-1025.8364896436156,-1021.8068974621048
44,5577,-1000.1618531670458,-6.729418715180563
45,6077,-974.6931952909323,-6.939883052471221
46,6303,-974.7051278790765,-1025.147854097486
47,6443,-974.757372761411,-1027.1433026495913
48,6943,-949.3667834197091,-9.234561984044435
49,7110,-949.4026418576647,-1025.8943079135415
50,7249,-949.4402830096981,-1025.8122287119163
51,7354,-949.5581596311204,-1026.8387048194024
52,7578,-949.6737658472218,-1025.9883400048664
53,7710,-949.7615235529504,-1026.6261002188485
54,8210,-924.1737848774039,-9.218883002496154
55,8361,-924.2910563819311,-1025.6871276625536
