episode,timestep,reward,raw_reward
1,96,-1019.4107096058024,-1019.4107096058024
2,170,-1019.2018035068788,-1018.9928974079554
3,246,-1018.9424458722189,-1018.4237306028991
4,363,-1019.331958124061,-1020.5004948795871
5,432,-1019.1216322473232,-1018.2803287403722
6,506,-1018.95310718903,-1018.1104818975633
7,577,-1018.9986259514636,-1019.2717385260654
8,807,-1020.4087992722771,-1030.2800125179715
9,876,-1020.1943424485457,-1018.4786878586947
10,1341,-1022.626622239071,-1044.5171403537981
11,1530,-1023.9234974248258,-1036.8922492823733
12,1763,-1025.055084230986,-1037.5025390987491
13,1930,-1025.4679229789679,-1030.4219879547502
14,2152,-1025.7413112096476,-1029.2953582084824
15,2310,-1025.5861998603352,-1023.4146409699623
16,2480,-1025.5325920810433,-1024.7284753916626
17,2550,-1025.125168307544,-1018.6063879315561
18,2888,-1025.1668570043735,-1025.8755648504741
19,3069,-1025.1140233548492,-1024.1630176634126
20,3208,-1025.0978332206437,-1024.7902206707379
21,3403,-1025.0383041928487,-1023.8477236369497
22,3525,-1024.9710765632938,-1023.5592963426388
23,3666,-1024.9475643805508,-1024.43029636021
24,3801,-1024.8477139860329,-1022.5511549121193
25,3941,-1024.7456561645115,-1022.2962684480008
26,4112,-1024.703108625467,-1023.6394201493544
27,4328,-1024.7392290462803,-1025.6783599874293
28,4828,-988.3708632959105,-6.4249880359188944
29,5328,-954.6452804879938,-10.32896186632713
30,5828,-923.1256563090516,-9.056555119729925
31,6328,-889.4761033911603,-9.924122069066328
32,6698,-889.7755420668152,-1027.9760576775975
33,7035,-890.3551775487359,-1035.812795060524
34,7535,-856.6177604059158,-8.377980594981791
35,8035,-822.8504572091105,-5.261232836217434
36,8509,-823.5122593286154,-1037.9645454827025
37,9009,-789.7460668210645,-6.285963299543922
38,9509,-755.5431435175473,-4.192313412460774
39,10009,-721.7562614823335,-4.8722268022791155
40,10509,-687.0841973849681,-4.355217432835188
41,11009,-652.6973750192751,-5.287578311578912
42,11509,-618.3320330330606,-6.542279512315594
43,12009,-584.225901179225,-7.238032339681014
44,12509,-550.1853947554729,-8.080165495915887
45,13009,-516.335668116079,-7.922841788146165
46,13509,-482.4631860350879,-8.554012961931496
47,14009,-448.774274514671,-7.939042319053084
